,Date,AAPL,MSFT,V,MA,NVDA,PYPL,ADBE,INTC,CSCO,CRM
0,2020-01-01,208.43,138.06,179.17,274.16,164.92,110.8,298.44,49.5,55.39,150.81
1,2020-01-02,204.02,136.9,177.42,269.45,161.19,107.09,293.71,48.68,53.25,145.7
2,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-05,193.34,132.21,168.86,256.84,150.79,103.6,280.36,46.97,51.37,142.82
5,2020-01-06,197.0,134.69,172.48,264.68,152.35,105.03,286.21,46.96,52.6,142.8
6,2020-01-07,199.04,135.28,175.32,269.31,153.89,106.63,289.02,46.73,52.34,141.64
7,2020-01-08,203.43,138.89,179.9,278.04,158.26,106.79,297.78,47.17,53.16,143.82
8,2020-01-09,200.99,137.71,179.05,274.95,154.18,104.82,294.83,45.98,52.43,143.37
9,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-12,200.48,135.79,176.34,270.0,151.45,102.72,288.65,45.6,51.54,140.72
12,2020-01-13,208.97,138.6,178.61,274.53,156.05,106.04,293.17,46.84,52.72,143.88
13,2020-01-14,202.75,133.98,173.51,267.15,150.07,103.27,283.66,45.87,50.61,139.72
14,2020-01-15,201.74,133.68,176.27,271.89,148.77,104.95,282.71,45.7,46.25,142.13
15,2020-01-16,206.5,136.13,178.23,274.36,159.56,106.16,287.45,46.5,46.96,143.89
16,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-01-19,210.35,138.41,179.74,278.07,170.78,107.67,287.97,47.23,48.5,143.67
19,2020-01-20,210.36,137.26,179.24,277.04,167.87,107.37,285.71,46.6,47.93,145.54
20,2020-01-21,212.64,138.79,180.94,282.01,171.23,109.82,291.53,47.15,48.77,147.38
21,2020-01-22,212.46,137.78,180.09,280.77,171.48,108.77,287.69,46.78,48.18,148.24
22,2020-01-23,202.64,133.39,175.23,271.89,162.44,106.04,282.44,44.96,46.61,151.57
23,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-01-26,206.49,135.45,177.59,276.43,165.45,107.66,288.74,45.56,47.1,155.14
26,2020-01-27,204.16,135.74,178.38,276.64,161.8,107.45,289.45,45.79,46.79,153.57
27,2020-01-28,205.53,135.56,178.67,278.24,161.22,107.47,282.13,45.79,46.87,151.83
28,2020-01-29,209.01,138.12,181.17,281.38,167.0,109.21,286.63,46.87,47.27,155.93
29,2020-01-30,208.74,137.86,180.82,281.37,167.51,109.05,284.51,47.41,46.81,156.07
30,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-02-03,205.7,136.04,179.2,280.11,164.17,106.75,282.45,46.98,46.5,152.73
34,2020-02-04,209.19,137.63,181.77,286.1,168.76,108.73,284.6,48.92,47.32,152.46
35,2020-02-05,213.28,140.05,184.73,292.08,179.74,111.46,287.75,50.1,48.42,153.77
36,2020-02-06,213.26,139.1,185.74,291.38,178.65,110.05,284.94,50.92,48.84,151.07
37,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-02-09,214.17,137.52,181.55,283.36,180.5,105.43,279.3,51.59,48.58,149.54
40,2020-02-10,216.7,136.08,176.35,272.33,183.18,103.05,276.14,51.82,49.21,149.65
41,2020-02-11,223.59,136.12,174.98,269.95,184.33,104.02,277.78,52.79,50.03,154.09
42,2020-02-12,223.09,137.52,177.98,276.4,184.27,107.1,278.02,53.01,49.93,154.75
43,2020-02-13,218.75,137.32,177.27,276.32,181.94,107.0,278.35,52.54,50.03,152.98
44,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-02-16,219.9,136.33,176.11,274.08,180.21,106.52,282.93,52.2,49.96,153.01
47,2020-02-17,220.7,137.39,176.45,276.25,181.07,107.5,284.69,51.95,49.41,152.82
48,2020-02-18,222.77,138.52,175.29,275.1,179.98,105.6,279.72,51.74,49.34,152.77
49,2020-02-19,220.96,141.07,175.96,275.91,176.94,106.12,281.26,51.57,49.19,153.6
50,2020-02-20,217.73,139.44,174.06,271.17,172.69,104.64,277.91,50.72,49.6,155.2
51,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-02-23,218.72,139.14,174.91,273.15,174.84,105.11,277.44,50.9,49.42,154.65
54,2020-02-24,217.68,137.38,174.48,271.12,172.53,103.69,272.47,49.82,49.12,152.05
55,2020-02-25,221.03,139.36,175.28,272.75,178.23,104.14,277.43,51.02,49.61,152.99
56,2020-02-26,219.89,139.54,175.65,273.89,177.34,104.55,283.81,50.92,48.83,152.34
57,2020-02-27,218.82,137.73,174.0,269.13,171.76,102.2,277.54,50.78,48.84,148.26
58,2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-03-01,223.97,139.03,172.01,271.57,174.07,103.59,276.25,51.53,49.41,148.44
61,2020-03-02,224.59,137.07,174.29,270.94,174.0,102.53,272.71,50.76,47.74,147.69
62,2020-03-03,218.96,134.65,169.83,264.48,173.04,99.73,266.66,49.39,46.56,144.22
