Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"2,256,152,221,440.00  $",1%,35.08,7.67,33.86,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"1,975,834,264,481.00  $",1%,37.42,12.89,14.74,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"1,722,783,298,278.00  $",0%,81.73,4.46,18.67,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"1,557,700,535,977.00  $",0%,19.18,8.53,3.47,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"1,557,700,535,977.00  $",0%,17.62,8.53,3.19,Analyze
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"866,388,818,857.00  $",0%,25.30,10.08,5.75,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"676,447,158,409.00  $",0%,965.98,21.45,29.99,Analyze
BRK.B,Berkshire Hathaway Inc.,Common stocks,Large cap,Financials,"628,535,013,046.00  $",0%,8.57,1.76,0.82,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"506,721,640,000.00  $",1%,36.94,23.59,10.51,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"458,606,360,561.00  $",2%,11.89,3.71,1.64,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"429,605,058,093.00  $",2%,28.21,5.10,6.74,Analyze
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"389,465,042,191.00  $",2%,28.73,0.70,4.77,Analyze
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"383,291,109,830.00  $",0%,60.80,25.05,60.99,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"382,933,966,801.00  $",0%,87.79,22.96,22.51,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"372,364,048,361.00  $",1%,22.06,1.42,5.37,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"344,705,937,450.00  $",2%,27.52,3.54,223.95,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"344,054,831,774.00  $",2%,16.85,3.97,1.26,Analyze
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"335,170,326,311.00  $",0%,-67.20,5.52,3.96,Analyze
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"321,159,176,867.00  $",2%,19.97,4.29,6.90,Analyze
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"315,664,925,354.00  $",0%,75.76,14.71,15.90,Analyze
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"248,957,073,726.00  $",2%,23.55,2.40,2.75,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"247,278,960,000.00  $",0%,44.27,18.07,18.19,Analyze
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"238,813,019,286.00  $",6%,-10.96,1.34,1.57,Analyze
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"234,082,860,000.00  $",2%,12.51,3.01,2.92,Analyze
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"233,164,800,000.00  $",4%,12.37,1.80,3.28,Analyze
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"230,892,919,600.00  $",3%,32.00,6.91,11.35,Analyze
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"223,349,466,294.00  $",0%,59.53,8.46,17.37,Analyze
T,AT&T Inc.,Common stocks,Large cap,Communication Services,"219,444,362,772.00  $",7%,-90.23,1.27,1.33,Analyze
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"216,899,502,700.00  $",1%,16.80,5.46,24.22,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"216,873,123,549.00  $",3%,21.30,4.52,5.52,Analyze
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"215,707,410,000.00  $",0%,53.58,10.15,5.26,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"215,595,122,869.00  $",1%,37.59,5.77,6.56,Analyze
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"214,459,853,929.00  $",4%,22.51,5.12,3.42,Analyze
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"207,390,243,414.00  $",1%,48.61,5.39,13.97,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"198,011,677,683.00  $",5%,-36.60,2.10,1.54,Analyze
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"197,421,291,313.00  $",3%,26.14,2.77,14.05,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"196,672,187,709.00  $",4%,42.79,4.29,15.11,Analyze
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"195,750,794,406.00  $",3%,27.60,4.08,7.71,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"193,049,549,802.00  $",1%,35.38,4.23,10.55,Analyze
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"192,664,821,192.00  $",0%,29.95,5.98,5.53,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"190,411,789,730.00  $",3%,51.28,7.71,7.82,Analyze
WFC,Wells Fargo,Common stocks,Large cap,Financials,"186,408,570,771.00  $",2%,30.90,2.56,1.00,Analyze
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"184,040,213,005.00  $",0%,40.11,7.42,4.56,Analyze
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"175,317,971,047.00  $",2%,36.66,9.13,-22.16,Analyze
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"175,209,027,925.00  $",2%,61.16,6.27,3.48,Analyze
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"175,038,696,520.00  $",2%,29.90,12.10,18.21,Analyze
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"174,737,961,291.00  $",2%,27.96,7.12,30.69,Analyze
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"167,805,972,000.00  $",2%,106.43,1.98,217.55,Analyze
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"165,725,847,894.00  $",0%,53.75,2.42,2.52,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"163,830,432,545.00  $",1%,37.65,0.92,10.45,Analyze
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"156,779,360,000.00  $",2%,23.06,5.87,21.02,Analyze
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"154,837,280,577.00  $",2%,33.47,4.75,8.61,Analyze
MS,Morgan Stanley,Common stocks,Large cap,Financials,"153,309,330,460.00  $",2%,12.00,2.99,1.52,Analyze
C,Citigroup Inc,Common stocks,Large cap,Financials,"152,307,249,168.00  $",3%,9.80,2.08,0.75,Analyze
LIN,Linde Plc,Common stocks,Large cap,Materials,"151,732,358,899.00  $",1%,60.03,5.57,3.17,Analyze
NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"151,396,925,891.00  $",2%,36.31,8.85,4.05,Analyze
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"149,953,008,065.00  $",2%,28.81,7.77,9.24,Analyze
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"147,349,886,659.00  $",3%,-16.36,3.47,3.90,Analyze
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"147,295,059,850.00  $",5%,16.98,5.06,-12.71,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"146,904,485,957.00  $",3%,18.76,5.78,14.49,Analyze
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"142,754,355,544.00  $",1%,24.16,2.88,97.85,Analyze
BA,Boeing,Common stocks,Large cap,Industrials,"141,359,248,644.00  $",1%,-11.56,2.43,-7.49,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"140,685,275,005.00  $",0%,43.61,2.93,5.90,Analyze
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"136,743,395,000.00  $",1%,199.05,5.90,-16.73,Analyze
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"130,859,126,743.00  $",1%,34.34,9.49,2.25,Analyze
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"126,899,296,721.00  $",5%,23.80,1.72,5.97,Analyze
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"125,827,984,277.00  $",2%,-35.87,1.98,1.75,Analyze
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"125,605,288,118.00  $",2%,42.25,3.01,8.26,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"125,517,648,601.00  $",1%,32.28,6.90,10.85,Analyze
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"125,242,494,606.00  $",2%,23.40,7.41,3.53,Analyze
AXP,American Express,Common stocks,Large cap,Financials,"120,784,617,879.00  $",1%,24.49,4.54,5.01,Analyze
GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"119,862,699,353.00  $",1%,8.30,2.39,1.23,Analyze
DE,Deere & Company,Common stocks,Large cap,Industrials,"119,846,506,598.00  $",1%,34.43,3.26,8.45,Analyze
GE,General Electric,Common stocks,Large cap,Industrials,"118,504,945,943.00  $",0%,22.17,1.49,3.26,Analyze
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"114,087,011,024.00  $",0%,78.11,8.04,13.37,Analyze
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"114,035,602,071.00  $",1%,65.18,14.78,12.84,Analyze
MMM,3M,Common stocks,Large cap,Industrials,"112,667,674,734.00  $",3%,21.09,3.50,8.82,Analyze
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"112,299,128,934.00  $",2%,66.28,13.96,27.37,Analyze
